V1,V2
264.00,114.00
239.00,119.00
240.00,107.00
231.00,150.00
241.00,130.00
238.00,113.00
235.00,128.00
241.00,122.00
256.00,112.00
227.00,118.00
238.00,131.00
242.00,148.00
263.00,144.00
272.00,160.00
289.00,177.00
301.00,170.00
328.00,199.00
336.00,211.00
354.00,240.00
368.00,252.00
382.00,272.00
398.00,259.00
411.00,277.00
424.00,294.00
433.00,310.00
449.00,331.00
464.00,332.00
479.00,357.00
496.00,360.00
506.00,368.00
528.00,370.00
543.00,353.00
550.00,369.00
566.00,380.00
581.00,400.00
596.00,391.00
609.00,425.00
624.00,410.00
641.00,402.00
656.00,426.00
664.00,423.00
681.00,414.00
695.00,416.00
707.00,418.00
723.00,450.00
739.00,448.00
758.00,460.00
771.00,447.00
787.00,454.00
803.00,449.00
816.00,475.00
830.00,460.00
847.00,475.00
862.00,485.00
880.00,458.00
895.00,473.00
912.00,481.00
923.00,501.00
939.00,482.00
947.00,475.00
963.00,479.00
976.00,485.00
995.00,483.00
1009.00,484.00
1040.00,501.00
1057.00,497.00
1072.00,507.00
1088.00,502.00
1097.00,499.00
1114.00,492.00
1132.00,503.00
1147.00,496.00
1161.00,522.00
1168.00,507.00
1184.00,494.00
1200.00,508.00
1216.00,510.00
1231.00,494.00
1245.00,535.00
1262.00,511.00
1286.00,529.00
1296.00,511.00
1307.00,517.00
1325.00,499.00
1342.00,531.00
1359.00,518.00
1376.00,502.00
1382.00,546.00
1395.00,532.00
1410.00,558.00
1424.00,518.00
1434.00,528.00
1456.00,527.00
1471.00,528.00
1488.00,547.00
1497.00,553.00
1517.00,540.00
1527.00,529.00
1547.00,565.00
1561.00,547.00
1577.00,530.00
1585.00,522.00
1605.00,573.00
1623.00,542.00
1634.00,555.00
1648.00,541.00
1661.00,534.00
1675.00,545.00
1691.00,546.00
1712.00,547.00
1721.00,555.00
1737.00,581.00
1756.00,550.00
1772.00,543.00
1783.00,561.00
1798.00,533.00
1808.00,563.00
1827.00,562.00
1840.00,566.00
1855.00,555.00
1872.00,539.00
1888.00,563.00
1902.00,544.00
1916.00,560.00
1934.00,553.00
1942.00,539.00
1959.00,570.00
1975.00,560.00
1957.00,561.00
1974.00,558.00
1989.00,563.00
2004.00,565.00
2022.00,557.00
2037.00,553.00
2057.00,548.00
2067.00,551.00
2079.00,570.00
2101.00,560.00
2112.00,573.00
2127.00,555.00
2143.00,570.00
2153.00,576.00
2165.00,560.00
2181.00,576.00
2207.00,577.00
2215.00,574.00
2230.00,544.00
2247.00,575.00
2261.00,558.00
2282.00,579.00
2293.00,570.00
2304.00,559.00
2321.00,592.00
2335.00,582.00
2350.00,562.00
2365.00,561.00
2378.00,590.00
2395.00,559.00
2409.00,583.00
2423.00,597.00
2437.00,568.00
2451.00,557.00
2468.00,583.00
2482.00,571.00
2498.00,576.00
2512.00,576.00
2528.00,618.00
2544.00,569.00
2557.00,579.00
2575.00,571.00
2591.00,576.00
2608.00,577.00
2621.00,560.00
2638.00,582.00
2650.00,592.00
2671.00,562.00
2686.00,586.00
2704.00,576.00
2717.00,592.00
2735.00,598.00
2752.00,562.00
2769.00,595.00
2785.00,597.00
2800.00,574.00
2816.00,571.00
2830.00,582.00
2838.00,586.00
2863.00,599.00
2875.00,582.00
2896.00,590.00
2908.00,566.00
2927.00,560.00
2951.00,595.00
2967.00,593.00
2986.00,593.00
2995.00,613.00
3019.00,581.00
3035.00,603.00
3056.00,624.00
3062.00,572.00
3088.00,577.00
3106.00,582.00
3121.00,592.00
3146.00,592.00
3158.00,624.00
3181.00,582.00
3198.00,564.00
3216.00,565.00
3237.00,592.00
3264.00,587.00
3282.00,568.00
3306.00,592.00
3327.00,611.00
3340.00,592.00
3359.00,582.00
3389.00,592.00
3402.00,606.00
3421.00,595.00
3442.00,608.00
3459.00,594.00
3495.00,591.00
3519.00,582.00
3542.00,587.00
3578.00,618.00
3599.00,599.00
3627.00,582.00
3651.00,599.00
3670.00,607.00
3706.00,624.00
3728.00,611.00
3759.00,611.00
3783.00,592.00
3813.00,603.00
3843.00,599.00
3868.00,605.00
3906.00,607.00
3932.00,591.00
3957.00,593.00
3987.00,590.00
4032.00,598.00
4071.00,594.00
4095.00,592.00
4095.00,592.00
4095.00,593.00
4095.00,611.00
4095.00,609.00
4095.00,606.00
4095.00,621.00
4095.00,592.00
4095.00,608.00
4095.00,624.00
4095.00,606.00
4095.00,591.00
4095.00,617.00
4095.00,636.00
4095.00,637.00
