Corriente_Diodo,Voltaje_Diodo
0.00,0.00
0.00,0.04
0.00,0.08
0.00,0.14
0.00,0.16
0.00,0.22
0.00,0.28
0.00,0.32
0.00,0.36
0.00,0.40
0.00,0.45
0.00,0.50
0.00,0.55
0.00,0.59
0.00,0.64
0.00,0.69
0.00,0.74
0.00,0.78
0.00,0.84
0.00,0.88
0.00,0.93
0.00,0.98
0.00,1.03
0.00,1.06
0.00,1.09
0.00,1.15
0.00,1.19
0.00,1.25
0.00,1.29
0.00,1.34
0.00,1.39
0.00,1.46
0.00,1.49
0.00,1.52
0.00,1.58
0.00,1.63
0.00,1.70
0.00,1.72
0.00,1.78
0.00,1.83
0.00,1.87
0.00,1.91
0.00,1.96
0.00,2.01
0.00,2.03
0.00,2.11
0.00,2.15
0.00,2.21
0.00,2.24
0.00,2.29
0.00,2.34
0.00,2.39
0.00,2.43
0.00,2.48
0.00,2.53
0.00,2.58
0.00,2.63
0.00,2.67
0.00,2.68
0.00,2.74
0.00,2.80
0.00,2.88
0.00,2.91
0.00,2.96
0.00,2.97
0.00,3.03
0.00,3.07
0.00,3.13
0.00,3.16
0.00,3.21
0.00,3.25
0.00,3.34
0.00,3.36
0.00,3.41
0.00,3.47
0.00,3.51
0.00,3.56
0.00,3.61
0.00,3.66
0.00,3.71
0.00,3.75
0.00,3.79
0.00,3.85
0.00,3.89
0.00,3.96
0.00,3.99
0.00,4.06
0.00,4.08
0.00,4.14
0.00,4.18
0.00,4.24
0.00,4.27
0.00,4.34
0.00,4.37
0.00,4.43
0.00,4.49
0.00,4.52
0.00,4.58
0.00,4.60
0.00,4.68
0.00,4.71
0.00,4.76
0.00,4.81
0.00,4.85
0.00,4.90
0.00,4.95
0.00,5.01
0.00,5.07
0.00,5.11
0.00,5.16
0.00,5.21
0.00,5.26
0.00,5.30
0.00,5.35
0.00,5.39
0.00,5.44
0.00,5.49
0.00,5.54
0.00,5.60
0.00,5.64
0.00,5.68
0.00,5.73
0.00,5.78
0.00,5.82
0.00,5.87
0.00,5.91
0.00,5.95
0.00,6.01
0.00,5.97
0.00,6.02
0.00,6.06
0.00,6.11
0.00,6.15
0.00,6.21
0.00,6.25
0.00,6.31
0.00,6.35
0.00,6.39
0.00,6.42
0.00,6.48
0.00,6.54
0.00,6.58
0.00,6.65
0.00,6.69
0.00,6.73
0.00,6.79
0.00,6.83
0.00,6.87
0.00,6.90
0.00,6.98
0.00,7.02
0.00,7.06
0.00,7.10
0.00,7.16
0.00,7.22
0.00,7.25
0.00,7.29
0.00,7.34
0.00,7.39
0.00,7.43
0.00,7.48
0.00,7.52
0.00,7.59
0.00,7.63
0.00,7.69
0.00,7.71
0.00,7.78
0.00,7.80
0.00,7.85
0.00,7.90
0.00,7.95
0.00,8.00
0.00,8.05
0.00,8.10
0.00,8.13
0.00,8.19
0.00,8.23
0.00,8.31
0.00,8.34
0.00,8.40
0.00,8.45
0.00,8.49
0.00,8.54
0.00,8.58
0.00,8.62
0.00,8.67
0.00,8.73
0.00,8.78
0.00,8.83
0.00,8.87
0.00,8.92
0.00,8.97
0.00,8.98
0.00,9.03
0.00,9.08
0.00,9.14
0.00,9.18
0.00,9.24
0.00,9.29
0.00,9.34
0.00,9.36
0.00,9.42
0.00,9.48
0.00,9.53
0.00,9.58
0.00,9.64
0.00,9.68
0.00,9.75
0.00,9.79
0.00,9.85
0.00,9.90
0.00,9.96
0.02,10.00
0.05,10.03
0.08,10.04
0.12,10.07
0.16,10.08
0.18,10.11
0.22,10.13
0.26,10.15
0.30,10.17
0.34,10.19
0.38,10.21
0.42,10.26
0.45,10.26
0.50,10.29
0.52,10.32
0.57,10.36
0.62,10.38
0.66,10.39
0.68,10.44
0.76,10.44
0.75,10.52
0.78,10.55
0.83,10.59
0.89,10.61
0.93,10.67
0.97,10.70
1.00,10.77
1.04,10.79
1.08,10.84
1.12,10.86
1.17,10.92
1.19,10.97
1.24,11.05
1.27,11.07
1.31,11.14
1.35,11.19
1.39,11.22
1.42,11.29
1.46,11.30
1.50,11.40
1.54,11.45
1.57,11.49
1.61,11.55
1.64,11.57
1.64,11.57
1.60,11.55
1.58,11.47
1.53,11.42
1.50,11.40
1.46,11.32
1.42,11.29
1.39,11.22
1.36,11.18
1.32,11.12
1.28,11.08
1.24,11.03
1.20,10.96
1.16,10.95
1.12,10.89
1.08,10.83
1.05,10.78
1.00,10.76
0.97,10.70
0.94,10.67
0.88,10.63
0.84,10.59
0.80,10.55
0.76,10.49
0.73,10.47
0.68,10.47
0.64,10.42
0.60,10.39
0.57,10.35
0.53,10.32
0.49,10.30
0.44,10.28
0.42,10.23
0.37,10.23
0.35,10.18
0.30,10.17
0.26,10.14
0.22,10.14
0.18,10.11
0.15,10.08
0.13,10.05
0.07,10.05
0.05,10.02
0.02,10.00
0.00,9.96
0.00,9.89
0.00,9.84
0.00,9.79
0.00,9.75
0.00,9.68
0.00,9.64
0.00,9.58
0.00,9.54
0.00,9.49
0.00,9.44
0.00,9.38
0.00,9.34
0.00,9.28
0.00,9.24
0.00,9.19
0.00,9.14
0.00,9.09
0.00,9.03
0.00,8.98
0.00,8.97
0.00,8.91
0.00,8.87
0.00,8.82
0.00,8.77
0.00,8.72
0.00,8.68
0.00,8.63
0.00,8.59
0.00,8.54
0.00,8.49
0.00,8.45
0.00,8.38
0.00,8.35
0.00,8.30
0.00,8.22
0.00,8.19
0.00,8.13
0.00,8.08
0.00,8.05
0.00,8.00
0.00,7.94
0.00,7.89
0.00,7.85
0.00,7.83
0.00,7.76
0.00,7.72
0.00,7.67
0.00,7.64
0.00,7.58
0.00,7.54
0.00,7.48
0.00,7.44
0.00,7.40
0.00,7.35
0.00,7.30
0.00,7.24
0.00,7.19
0.00,7.16
0.00,7.11
0.00,7.07
0.00,7.02
0.00,6.97
0.00,6.92
0.00,6.87
0.00,6.83
0.00,6.78
0.00,6.74
0.00,6.69
0.00,6.65
0.00,6.59
0.00,6.52
0.00,6.46
0.00,6.44
0.00,6.39
0.00,6.34
0.00,6.31
0.00,6.25
0.00,6.20
0.00,6.15
0.00,6.12
0.00,6.06
0.00,6.02
0.00,5.97
0.00,6.01
0.00,5.97
0.00,5.93
0.00,5.87
0.00,5.82
0.00,5.77
0.00,5.73
0.00,5.67
0.00,5.63
0.00,5.59
0.00,5.53
0.00,5.48
0.00,5.44
0.00,5.39
0.00,5.35
0.00,5.31
0.00,5.26
0.00,5.21
0.00,5.15
0.00,5.11
0.00,5.06
0.00,5.01
0.00,4.95
0.00,4.90
0.00,4.85
0.00,4.80
0.00,4.77
0.00,4.71
0.00,4.66
0.00,4.61
0.00,4.58
0.00,4.52
0.00,4.49
0.00,4.42
0.00,4.39
0.00,4.34
0.00,4.28
0.00,4.24
0.00,4.18
0.00,4.14
0.00,4.09
0.00,4.05
0.00,3.99
0.00,3.95
0.00,3.91
0.00,3.85
0.00,3.79
0.00,3.76
0.00,3.70
0.00,3.66
0.00,3.60
0.00,3.56
0.00,3.52
0.00,3.47
0.00,3.42
0.00,3.36
0.00,3.34
0.00,3.26
0.00,3.21
0.00,3.15
0.00,3.13
0.00,3.06
0.00,3.02
0.00,2.96
0.00,2.95
0.00,2.89
0.00,2.86
0.00,2.83
0.00,2.75
0.00,2.73
0.00,2.67
0.00,2.63
0.00,2.58
0.00,2.53
0.00,2.49
0.00,2.43
0.00,2.38
0.00,2.34
0.00,2.30
0.00,2.24
0.00,2.21
0.00,2.15
0.00,2.10
0.00,2.06
0.00,2.01
0.00,1.96
0.00,1.91
0.00,1.86
0.00,1.83
0.00,1.80
0.00,1.73
0.00,1.68
0.00,1.62
0.00,1.59
0.00,1.53
0.00,1.48
0.00,1.44
0.00,1.39
0.00,1.35
0.00,1.29
0.00,1.24
0.00,1.20
0.00,1.15
0.00,1.11
0.00,1.07
0.00,1.03
0.00,0.98
0.00,0.92
0.00,0.87
0.00,0.83
0.00,0.79
0.00,0.73
0.00,0.68
0.00,0.64
0.00,0.59
0.00,0.55
0.00,0.49
0.00,0.46
0.00,0.40
0.00,0.35
0.00,0.31
0.00,0.26
0.00,0.21
0.00,0.16
0.00,0.13
0.00,0.08
0.00,0.03
0.00,0.00

